Custom table,Dataflow,Dataflow name,Timespan,Last update of data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,"BIS,WS_CBPOL,1.0",Central bank policy rates,2010-01-31 - 2024-12-31,2026-06-18,2026-06-18 08:44 CEST,BIS,https://data.bis.org/topics/CBPOL/data?data_view=table&rows=REF_AREA&cols=TIME_PERIOD&settings=asc%7Cdesc%7Cname&filter=FREQ%3DM%255EYEAR%3D2023%257C2022%257C2024%257C2021%257C2020%257C2019%257C2018%257C2017%257C2016%257C2015%257C2014%257C2013%257C2012%257C2011%257C2010&ccId=,https://data.bis.org/topics/CBPOL/data?data_view=table&rows=REF_AREA&cols=TIME_PERIOD&settings=asc%7Cdesc%7Cname&filter=FREQ%3DM%255EYEAR%3D2023%257C2022%257C2024%257C2021%257C2020%257C2019%257C2018%257C2017%257C2016%257C2015%257C2014%257C2013%257C2012%257C2011%257C2010&ccId=&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code,https://data.bis.org/topics/CBPOL

Reference area,2024-12-31,2024-11-30,2024-10-31,2024-09-30,2024-08-31,2024-07-31,2024-06-30,2024-05-31,2024-04-30,2024-03-31,2024-02-29,2024-01-31,2023-12-31,2023-11-30,2023-10-31,2023-09-30,2023-08-31,2023-07-31,2023-06-30,2023-05-31,2023-04-30,2023-03-31,2023-02-28,2023-01-31,2022-12-31,2022-11-30,2022-10-31,2022-09-30,2022-08-31,2022-07-31,2022-06-30,2022-05-31,2022-04-30,2022-03-31,2022-02-28,2022-01-31,2021-12-31,2021-11-30,2021-10-31,2021-09-30,2021-08-31,2021-07-31,2021-06-30,2021-05-31,2021-04-30,2021-03-31,2021-02-28,2021-01-31,2020-12-31,2020-11-30,2020-10-31,2020-09-30,2020-08-31,2020-07-31,2020-06-30,2020-05-31,2020-04-30,2020-03-31,2020-02-29,2020-01-31,2019-12-31,2019-11-30,2019-10-31,2019-09-30,2019-08-31,2019-07-31,2019-06-30,2019-05-31,2019-04-30,2019-03-31,2019-02-28,2019-01-31,2018-12-31,2018-11-30,2018-10-31,2018-09-30,2018-08-31,2018-07-31,2018-06-30,2018-05-31,2018-04-30,2018-03-31,2018-02-28,2018-01-31,2017-12-31,2017-11-30,2017-10-31,2017-09-30,2017-08-31,2017-07-31,2017-06-30,2017-05-31,2017-04-30,2017-03-31,2017-02-28,2017-01-31,2016-12-31,2016-11-30,2016-10-31,2016-09-30,2016-08-31,2016-07-31,2016-06-30,2016-05-31,2016-04-30,2016-03-31,2016-02-29,2016-01-31,2015-12-31,2015-11-30,2015-10-31,2015-09-30,2015-08-31,2015-07-31,2015-06-30,2015-05-31,2015-04-30,2015-03-31,2015-02-28,2015-01-31,2014-12-31,2014-11-30,2014-10-31,2014-09-30,2014-08-31,2014-07-31,2014-06-30,2014-05-31,2014-04-30,2014-03-31,2014-02-28,2014-01-31,2013-12-31,2013-11-30,2013-10-31,2013-09-30,2013-08-31,2013-07-31,2013-06-30,2013-05-31,2013-04-30,2013-03-31,2013-02-28,2013-01-31,2012-12-31,2012-11-30,2012-10-31,2012-09-30,2012-08-31,2012-07-31,2012-06-30,2012-05-31,2012-04-30,2012-03-31,2012-02-29,2012-01-31,2011-12-31,2011-11-30,2011-10-31,2011-09-30,2011-08-31,2011-07-31,2011-06-30,2011-05-31,2011-04-30,2011-03-31,2011-02-28,2011-01-31,2010-12-31,2010-11-30,2010-10-31,2010-09-30,2010-08-31,2010-07-31,2010-06-30,2010-05-31,2010-04-30,2010-03-31,2010-02-28,2010-01-31
Argentina,32.0,35.0,40.0,40.0,40.0,40.0,40.0,40.0,60.0,80.0,100.0,100.0,100.0,133.0,133.0,118.0,118.0,97.0,97.0,97.0,91.0,78.0,75.0,75.0,75.0,75.0,75.0,75.0,69.5,60.0,52.0,49.0,47.0,44.5,42.5,40.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,36.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.0,50.0,55.0,63.002,68.002,78.372,83.264,60.396,62.688,70.73,73.93,68.155,50.127,53.687,59.252,60.753,68.048,65.0,60.0,40.0,40.0,40.0,30.25,27.25,27.25,27.25,28.75,28.75,27.75,26.25,26.25,26.25,26.25,26.25,26.25,24.75,24.75,24.75,24.7503,24.7503,26.7498,26.7498,28.2505,30.2498,30.7503,35.2503,37.9997,38.0008,31.1461,30.7503,33.0009,29.0366,28.9307,26.0367,25.8188,25.9237,26.0401,26.0401,25.9701,26.2199,26.3301,26.56,26.8599,26.8599,26.8599,26.8599,26.8599,26.7801,26.8002,26.7301,27.7999,28.6298,28.7098,25.5201,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Australia,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.1,4.1,4.1,4.1,4.1,3.85,3.6,3.6,3.35,3.1,3.1,2.85,2.6,2.35,1.85,1.35,0.85,0.35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.75,1.75,1.75,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.25,2.25,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.75,2.75,3.0,3.0,3.0,3.0,3.0,3.25,3.25,3.5,3.5,3.5,3.5,3.75,4.25,4.25,4.25,4.25,4.25,4.5,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.5,4.5,4.5,4.5,4.5,4.5,4.25,4.0,3.75,3.75
Brazil,12.25,11.25,10.75,10.75,10.5,10.5,10.5,10.5,10.75,10.75,11.25,11.75,11.75,12.25,12.75,12.75,13.25,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.25,13.25,12.75,11.75,11.75,10.75,9.25,9.25,7.75,7.75,6.25,5.25,4.25,4.25,3.5,2.75,2.75,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.25,2.25,3.0,3.75,3.75,4.25,4.5,4.5,5.0,5.0,5.5,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.75,7.0,7.0,7.5,7.5,8.25,9.25,9.25,10.25,11.25,11.25,12.25,12.25,13.0,13.75,14.0,14.0,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,13.75,13.25,13.25,12.75,12.25,12.25,11.75,11.25,11.25,11.0,11.0,11.0,11.0,11.0,11.0,10.75,10.75,10.5,10.0,10.0,9.5,9.0,9.0,8.5,8.0,8.0,7.5,7.25,7.25,7.25,7.25,7.25,7.25,7.5,7.5,8.0,8.5,8.5,9.0,9.75,10.5,10.5,11.0,11.5,11.5,12.0,12.5,12.5,12.25,12.0,12.0,11.75,11.25,11.25,10.75,10.75,10.75,10.75,10.75,10.75,10.25,9.5,9.5,8.75,8.75,8.75
Canada,3.25,3.75,3.75,4.25,4.5,4.5,4.75,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,4.5,4.5,4.5,4.5,4.5,4.25,3.75,3.75,3.25,2.5,2.5,1.5,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.25,0.25,0.25,0.25,0.25
Chile,5.0,5.25,5.25,5.5,5.75,5.75,5.75,6.0,6.5,7.25,7.25,8.25,8.25,9.0,9.0,9.5,10.25,10.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,10.75,9.75,9.75,9.0,8.25,7.0,7.0,5.5,5.5,4.0,2.75,2.75,1.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.75,1.75,1.75,1.75,1.75,2.0,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,2.75,2.75,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,3.0,3.25,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.25,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3.5,3.75,4.0,4.0,4.0,4.0,4.25,4.5,4.5,4.5,4.75,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.0,4.5,4.0,3.5,3.25,3.25,3.0,2.75,2.5,2.0,1.5,1.0,0.5,0.5,0.5,0.5,0.5
China,3.1,3.1,3.1,3.35,3.35,3.35,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.55,3.55,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.05,4.05,4.15,4.15,4.15,4.2,4.2,4.25,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.6,4.6,4.85,4.85,5.1,5.35,5.35,5.6,5.6,5.6,5.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.31,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.31,6.31,6.31,6.06,6.06,5.81,5.81,5.56,5.56,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
Colombia,9.5,9.75,10.25,10.75,10.75,11.25,11.75,11.75,12.25,12.25,12.75,13.0,13.0,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.0,13.0,12.75,12.75,12.0,11.0,11.0,10.0,9.0,7.5,6.0,6.0,5.0,4.0,4.0,4.0,3.0,2.5,2.0,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.25,2.5,2.75,3.25,3.75,3.75,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.5,4.5,4.5,4.75,4.75,5.0,5.25,5.5,5.5,6.25,6.25,7.0,7.0,7.25,7.5,7.5,7.75,7.75,7.75,7.75,7.5,7.5,7.25,6.5,6.5,6.25,5.75,5.75,5.5,4.75,4.75,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.25,4.0,4.0,3.5,3.5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.75,4.0,4.25,4.5,4.75,4.75,4.75,5.0,5.25,5.25,5.25,5.25,5.25,5.0,4.75,4.75,4.5,4.5,4.5,4.25,4.25,4.0,3.5,3.5,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.3,-0.4,,,,,,,,,0.0,,,0.25,,0.1,0.1,0.1,0.1,0.1,0.5,,,0.39,0.4,0.06,0.0,0.0,0.0,0.08,0.3,0.58,0.52,0.2,0.0,0.0,0.0,0.3,0.5,0.5,0.58,0.38,0.7,0.63,0.81,0.56,0.46,0.25,0.14,0.13,0.8,0.27,0.4,0.29,0.4,0.42,0.39,0.47,0.22,0.24,0.21,0.28,0.43,0.4,0.5,0.31,0.25,0.25,0.56,0.21,0.25,0.36,0.26,0.26,0.78,0.22,0.22,0.59,0.42,0.49,0.54,1.43,0.5,0.74,0.4,0.48,1.29,1.04,1.25,1.57,0.52,0.76,1.25,0.42,0.47,0.38,0.45,0.7,0.63,0.67,0.57,0.81,0.71,0.74,0.87,0.88,1.37,1.03,0.7,0.83,0.77,0.42,0.78
Czechia,4.0,4.0,4.25,4.25,4.5,4.75,4.75,5.25,5.75,5.75,6.25,6.75,6.75,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.75,5.0,4.5,4.5,3.75,3.75,2.75,1.5,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,2.25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.25,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0
Denmark,2.6,2.85,2.85,3.1,3.35,3.35,3.35,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.35,3.35,3.1,2.85,2.6,2.6,2.1,1.75,1.75,1.25,1.25,0.65,-0.1,-0.1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.5,-0.05,-0.05,-0.05,-0.05,0.05,0.05,0.05,0.05,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.05,0.2,0.3,0.3,0.3,0.3,0.3,0.65,1.0,1.0,1.1,1.2,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8
Euro area,3.0,3.25,3.25,3.5,4.25,4.25,4.25,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.25,4.0,4.0,3.75,3.5,3.5,3.0,2.5,2.5,2.0,1.25,1.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hong Kong SAR,4.75,5.0,5.25,5.25,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.5,5.5,5.25,5.25,5.0,4.75,4.75,4.25,3.5,3.5,2.75,2.75,2.0,1.25,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.62,1.11,1.65,2.0,2.0,2.49,2.0,2.0,2.25,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.5,2.5,2.5,2.25,2.25,2.25,2.0,2.0,2.0,1.75,1.75,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
